Fahrt 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max RPM;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPM;995;992;997;973;2685;2239;1351;1369;1235;1845;2277;2859;1287;2916;1722;2780;1785;2111;2170;2253;2346;2271;1541;1146;1459;1890;2368;2796;1793;1971;1724;1668;2035;2120;2160;2180;2213;2256;2289;2308;2256;2087;1214;2069;2646;2097;2547;2693;2690;2635;2711;2591;2529;2519;2551;2497;2512;2460;2364;1884;1980;2549;2658;2702;2586;1631;1089;1084;1019;1001;1002;1054;2082;2901;2444;1846;2113;2298;2301;2288;2468;2424;2428;1266;1080;1058;2725;2871;1845;2645;2354;2066;1940;1841;1175;1063;1016;1012;995;1004;994;1001;1003;999;1003;998;992;1004;1016;1561;1857;1366;1246;1567;2984;2621;1946;2262;2436;2499;2594;2518;2518;2513;2437;2416;2606;2609;2135;1379;1106;1094;1040;1877;2115;1893;2890;2187;2543;2529;2566;2601;2381;1829;2106;2550;2676;2661;2647;2678;2679;2688;2386;2320;1159;2133;2549;2753;1893;2001;2173;2443;2619;1371;1089; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Longitude;1.306.299;1.306.299;1.306.299;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.623.923;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.622.018;130.620.661;130.620.661;130.620.661;130.601.701;130.596.286;130.576.614;130.576.614;130.576.614;130.576.614;130.576.614;130.560.122;130.560.122;130.560.122;13.053.121;130.517.597;130.517.597;130.517.597;130.517.597;130.517.597;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.497.009;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.487.054;130.487.054;130.515.938;130.515.938;130.515.938;130.515.938;130.515.938;130.515.938;13.050.631;13.050.631;13.050.631;13.050.631;130.515.938;130.515.938;130.523.247;130.523.247;130.523.247;130.523.247;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.537.867;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.545.156;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.595.129;130.595.129;130.595.129;130.595.129;130.594.788;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;130.609.711;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latitude;477.883.389;477.883.389;477.883.389;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;47.788.144;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.855.344;477.863.393;477.863.393;477.863.393;477.878.162;477.877.719;477.871.148;477.871.148;477.871.148;477.871.148;477.871.148;477.884.465;477.884.465;477.884.465;477.886.953;477.851.437;477.851.437;477.851.437;477.851.437;477.851.437;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.886.944;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;47.791.367;47.791.367;477.918.069;477.918.069;477.918.069;477.918.069;477.918.069;477.918.069;477.916.602;477.916.602;477.916.602;477.916.602;477.918.069;477.918.069;477.935.597;477.935.597;477.935.597;477.935.597;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;477.970.653;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.796.487;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;477.935.612;477.935.612;477.935.612;477.935.612;477.934.426;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.929.317;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accuracy;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1066;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1168;1168;1168;1168;1168;1168;1168;1168;1168;957;957;957;957;957;957;957;957;957;957;957;1072;1072;1072;1072;1072;1045;1045;1045;1045;1045;1045;1045;1045;1045;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1286;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Speed; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time; Thu Aug 28 2014 19:49:28 GMT+0200 (CEST); Thu Aug 28 2014 19:49:31 GMT+0200 (CEST); Thu Aug 28 2014 19:49:34 GMT+0200 (CEST); Thu Aug 28 2014 19:49:37 GMT+0200 (CEST); Thu Aug 28 2014 19:49:40 GMT+0200 (CEST); Thu Aug 28 2014 19:49:43 GMT+0200 (CEST); Thu Aug 28 2014 19:49:46 GMT+0200 (CEST); Thu Aug 28 2014 19:49:49 GMT+0200 (CEST); Thu Aug 28 2014 19:49:52 GMT+0200 (CEST); Thu Aug 28 2014 19:49:55 GMT+0200 (CEST); Thu Aug 28 2014 19:49:58 GMT+0200 (CEST); Thu Aug 28 2014 19:50:01 GMT+0200 (CEST); Thu Aug 28 2014 19:50:04 GMT+0200 (CEST); Thu Aug 28 2014 19:50:07 GMT+0200 (CEST); Thu Aug 28 2014 19:50:10 GMT+0200 (CEST); Thu Aug 28 2014 19:50:13 GMT+0200 (CEST); Thu Aug 28 2014 19:50:16 GMT+0200 (CEST); Thu Aug 28 2014 19:50:19 GMT+0200 (CEST); Thu Aug 28 2014 19:50:22 GMT+0200 (CEST); Thu Aug 28 2014 19:50:25 GMT+0200 (CEST); Thu Aug 28 2014 19:50:28 GMT+0200 (CEST); Thu Aug 28 2014 19:50:31 GMT+0200 (CEST); Thu Aug 28 2014 19:50:34 GMT+0200 (CEST); Thu Aug 28 2014 19:50:37 GMT+0200 (CEST); Thu Aug 28 2014 19:50:40 GMT+0200 (CEST); Thu Aug 28 2014 19:50:43 GMT+0200 (CEST); Thu Aug 28 2014 19:50:46 GMT+0200 (CEST); Thu Aug 28 2014 19:50:49 GMT+0200 (CEST); Thu Aug 28 2014 19:50:52 GMT+0200 (CEST); Thu Aug 28 2014 19:50:55 GMT+0200 (CEST); Thu Aug 28 2014 19:50:58 GMT+0200 (CEST); Thu Aug 28 2014 19:51:01 GMT+0200 (CEST); Thu Aug 28 2014 19:51:04 GMT+0200 (CEST); Thu Aug 28 2014 19:51:07 GMT+0200 (CEST); Thu Aug 28 2014 19:51:10 GMT+0200 (CEST); Thu Aug 28 2014 19:51:13 GMT+0200 (CEST); Thu Aug 28 2014 19:51:16 GMT+0200 (CEST); Thu Aug 28 2014 19:51:19 GMT+0200 (CEST); Thu Aug 28 2014 19:51:22 GMT+0200 (CEST); Thu Aug 28 2014 19:51:25 GMT+0200 (CEST); Thu Aug 28 2014 19:51:28 GMT+0200 (CEST); Thu Aug 28 2014 19:51:31 GMT+0200 (CEST); Thu Aug 28 2014 19:51:34 GMT+0200 (CEST); Thu Aug 28 2014 19:51:37 GMT+0200 (CEST); Thu Aug 28 2014 19:51:40 GMT+0200 (CEST); Thu Aug 28 2014 19:51:43 GMT+0200 (CEST); Thu Aug 28 2014 19:51:46 GMT+0200 (CEST); Thu Aug 28 2014 19:51:49 GMT+0200 (CEST); Thu Aug 28 2014 19:51:52 GMT+0200 (CEST); Thu Aug 28 2014 19:51:55 GMT+0200 (CEST); Thu Aug 28 2014 19:51:58 GMT+0200 (CEST); Thu Aug 28 2014 19:52:01 GMT+0200 (CEST); Thu Aug 28 2014 19:52:04 GMT+0200 (CEST); Thu Aug 28 2014 19:52:07 GMT+0200 (CEST); Thu Aug 28 2014 19:52:10 GMT+0200 (CEST); Thu Aug 28 2014 19:52:13 GMT+0200 (CEST); Thu Aug 28 2014 19:52:16 GMT+0200 (CEST); Thu Aug 28 2014 19:52:19 GMT+0200 (CEST); Thu Aug 28 2014 19:52:22 GMT+0200 (CEST); Thu Aug 28 2014 19:52:25 GMT+0200 (CEST); Thu Aug 28 2014 19:52:28 GMT+0200 (CEST); Thu Aug 28 2014 19:52:31 GMT+0200 (CEST); Thu Aug 28 2014 19:52:34 GMT+0200 (CEST); Thu Aug 28 2014 19:52:37 GMT+0200 (CEST); Thu Aug 28 2014 19:52:40 GMT+0200 (CEST); Thu Aug 28 2014 19:52:43 GMT+0200 (CEST); Thu Aug 28 2014 19:52:46 GMT+0200 (CEST); Thu Aug 28 2014 19:52:49 GMT+0200 (CEST); Thu Aug 28 2014 19:52:52 GMT+0200 (CEST); Thu Aug 28 2014 19:52:55 GMT+0200 (CEST); Thu Aug 28 2014 19:52:58 GMT+0200 (CEST); Thu Aug 28 2014 19:53:01 GMT+0200 (CEST); Thu Aug 28 2014 19:53:04 GMT+0200 (CEST); Thu Aug 28 2014 19:53:07 GMT+0200 (CEST); Thu Aug 28 2014 19:53:10 GMT+0200 (CEST); Thu Aug 28 2014 19:53:13 GMT+0200 (CEST); Thu Aug 28 2014 19:53:16 GMT+0200 (CEST); Thu Aug 28 2014 19:53:19 GMT+0200 (CEST); Thu Aug 28 2014 19:53:22 GMT+0200 (CEST); Thu Aug 28 2014 19:53:25 GMT+0200 (CEST); Thu Aug 28 2014 19:53:28 GMT+0200 (CEST); Thu Aug 28 2014 19:53:31 GMT+0200 (CEST); Thu Aug 28 2014 19:53:34 GMT+0200 (CEST); Thu Aug 28 2014 19:53:37 GMT+0200 (CEST); Thu Aug 28 2014 19:53:40 GMT+0200 (CEST); Thu Aug 28 2014 19:53:43 GMT+0200 (CEST); Thu Aug 28 2014 19:53:46 GMT+0200 (CEST); Thu Aug 28 2014 19:53:49 GMT+0200 (CEST); Thu Aug 28 2014 19:53:52 GMT+0200 (CEST); Thu Aug 28 2014 19:53:55 GMT+0200 (CEST); Thu Aug 28 2014 19:53:58 GMT+0200 (CEST); Thu Aug 28 2014 19:54:01 GMT+0200 (CEST); Thu Aug 28 2014 19:54:04 GMT+0200 (CEST); Thu Aug 28 2014 19:54:07 GMT+0200 (CEST); Thu Aug 28 2014 19:54:10 GMT+0200 (CEST); Thu Aug 28 2014 19:54:13 GMT+0200 (CEST); Thu Aug 28 2014 19:54:16 GMT+0200 (CEST); Thu Aug 28 2014 19:54:19 GMT+0200 (CEST); Thu Aug 28 2014 19:54:22 GMT+0200 (CEST); Thu Aug 28 2014 19:54:25 GMT+0200 (CEST); Thu Aug 28 2014 19:54:28 GMT+0200 (CEST); Thu Aug 28 2014 19:54:31 GMT+0200 (CEST); Thu Aug 28 2014 19:54:34 GMT+0200 (CEST); Thu Aug 28 2014 19:54:37 GMT+0200 (CEST); Thu Aug 28 2014 19:54:40 GMT+0200 (CEST); Thu Aug 28 2014 19:54:43 GMT+0200 (CEST); Thu Aug 28 2014 19:54:46 GMT+0200 (CEST); Thu Aug 28 2014 19:54:49 GMT+0200 (CEST); Thu Aug 28 2014 19:54:52 GMT+0200 (CEST); Thu Aug 28 2014 19:54:55 GMT+0200 (CEST); Thu Aug 28 2014 19:54:58 GMT+0200 (CEST); Thu Aug 28 2014 19:55:01 GMT+0200 (CEST); Thu Aug 28 2014 19:55:04 GMT+0200 (CEST); Thu Aug 28 2014 19:55:07 GMT+0200 (CEST); Thu Aug 28 2014 19:55:10 GMT+0200 (CEST); Thu Aug 28 2014 19:55:13 GMT+0200 (CEST); Thu Aug 28 2014 19:55:16 GMT+0200 (CEST); Thu Aug 28 2014 19:55:19 GMT+0200 (CEST); Thu Aug 28 2014 19:55:22 GMT+0200 (CEST); Thu Aug 28 2014 19:55:25 GMT+0200 (CEST); Thu Aug 28 2014 19:55:28 GMT+0200 (CEST); Thu Aug 28 2014 19:55:31 GMT+0200 (CEST); Thu Aug 28 2014 19:55:34 GMT+0200 (CEST); Thu Aug 28 2014 19:55:37 GMT+0200 (CEST); Thu Aug 28 2014 19:55:40 GMT+0200 (CEST); Thu Aug 28 2014 19:55:43 GMT+0200 (CEST); Thu Aug 28 2014 19:55:46 GMT+0200 (CEST); Thu Aug 28 2014 19:55:49 GMT+0200 (CEST); Thu Aug 28 2014 19:55:52 GMT+0200 (CEST); Thu Aug 28 2014 19:55:55 GMT+0200 (CEST); Thu Aug 28 2014 19:55:58 GMT+0200 (CEST); Thu Aug 28 2014 19:56:01 GMT+0200 (CEST); Thu Aug 28 2014 19:56:04 GMT+0200 (CEST); Thu Aug 28 2014 19:56:07 GMT+0200 (CEST); Thu Aug 28 2014 19:56:10 GMT+0200 (CEST); Thu Aug 28 2014 19:56:13 GMT+0200 (CEST); Thu Aug 28 2014 19:56:16 GMT+0200 (CEST); Thu Aug 28 2014 19:56:19 GMT+0200 (CEST); Thu Aug 28 2014 19:56:22 GMT+0200 (CEST); Thu Aug 28 2014 19:56:25 GMT+0200 (CEST); Thu Aug 28 2014 19:56:28 GMT+0200 (CEST); Thu Aug 28 2014 19:56:31 GMT+0200 (CEST); Thu Aug 28 2014 19:56:34 GMT+0200 (CEST); Thu Aug 28 2014 19:56:37 GMT+0200 (CEST); Thu Aug 28 2014 19:56:40 GMT+0200 (CEST); Thu Aug 28 2014 19:56:43 GMT+0200 (CEST); Thu Aug 28 2014 19:56:46 GMT+0200 (CEST); Thu Aug 28 2014 19:56:49 GMT+0200 (CEST); Thu Aug 28 2014 19:56:52 GMT+0200 (CEST); Thu Aug 28 2014 19:56:55 GMT+0200 (CEST); Thu Aug 28 2014 19:56:58 GMT+0200 (CEST); Thu Aug 28 2014 19:57:01 GMT+0200 (CEST); Thu Aug 28 2014 19:57:04 GMT+0200 (CEST); Thu Aug 28 2014 19:57:07 GMT+0200 (CEST); Thu Aug 28 2014 19:57:10 GMT+0200 (CEST); Thu Aug 28 2014 19:57:13 GMT+0200 (CEST); Thu Aug 28 2014 19:57:16 GMT+0200 (CEST); Thu Aug 28 2014 19:57:19 GMT+0200 (CEST); Thu Aug 28 2014 19:57:22 GMT+0200 (CEST); Thu Aug 28 2014 19:57:25 GMT+0200 (CEST); Thu Aug 28 2014 19:57:28 GMT+0200 (CEST); Thu Aug 28 2014 19:57:31 GMT+0200 (CEST); Thu Aug 28 2014 19:57:34 GMT+0200 (CEST); Thu Aug 28 2014 19:57:37 GMT+0200 (CEST); Thu Aug 28 2014 19:57:40 GMT+0200 (CEST); ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximal;2984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimal;973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
