Fahrt 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max RPM;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPM;803;799;801;801;801;802;800;800;810;883;1038;1161;849;1794;1128;1191;886;1352;2130;1602;1660;1608;1623;1677;1594;1428;793;825;819;800;803;798;1053;1015;2033;1426;1466;1248;822;830;826;799;803;1788;1264;1216;1370;1467;1565;1637;1589;1409;1256;1180;1196;1228;1273;1286;1191;973;824;1031;891;1999;1542;1604;2078;1532;1776;1823;1822;1822;1814;1808;1846;1890;909;1364;1352;1341;1337;1135;1359;1250;1585;1835;1862;1676;1557;1507;1422;1234;1288;1569;1634;1622;736;829;1904;1196;1395;1320;809;833;806;991;1793;1231;1551;1284;834;831;881;1060;1067;873;830;802;798;800;803;799;803;802;803;1091;1352;840;830;834;794;796;794;1141;2000;1445;1735;1657;1190;829;808;810;806;803;803;789;791;799;795;807;800;811;801;802;1176;1271;1688;1165;1025;1768;1337;1628;1309;1362;1378;1397;1425;1455;1455;1429;1412;1398;1356;862;828;1429;2156;1668;1367;1431;1461;1489;1494;1350;824;907;1432;1675;1401;1526;1545;1505;1475;1386;848;830;1363;1556;1808;1173;1343;1483;1412;1444;1426;1304;838;828;965;832;809;805;806; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Longitude;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.620.099;130.620.099;130.620.099;130.620.099;130.622.127;130.622.127;130.622.127;130.622.127;130.622.127;130.622.127;130.624.219;130.624.219;130.623.563;130.623.563;130.624.219;130.624.219;130.588.678;130.588.678;130.588.678;130.588.678;130.588.678;130.569.925;130.569.925;130.561.558;130.550.568;130.550.568;130.526.673;130.526.673;130.526.673;130.524.622;130.524.622;130.524.622;130.524.622;130.518.033;130.518.033;130.518.033;130.518.033;130.518.033;130.518.033;130.518.469;130.518.469;130.518.469;130.518.469;130.518.469;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.502.711;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.485.474;130.483.996;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.486.965;130.489.935;130.489.935;130.489.935;130.489.935;130.489.935;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.512.614;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;130.535.295;13.054.387;13.054.387;13.054.387;13.054.387;13.054.387;130.560.956;130.560.956;130.560.956;130.560.956;130.560.956;130.573.787;130.573.787;130.573.787;130.573.787;130.594.788;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;130.609.711;130.624.974;130.624.974;130.624.974;130.624.974;130.624.974;130.624.974;130.624.974;130.624.974;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.622.253;130.622.253;130.622.253;130.622.253; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latitude;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.883.407;477.883.407;477.883.407;477.883.407;477.866.377;477.866.377;477.866.377;477.866.377;477.866.377;477.866.377;47.785.982;47.785.982;477.868.987;477.868.987;47.785.982;47.785.982;477.857.025;477.857.025;477.857.025;477.857.025;477.857.025;47.786.938;47.786.938;477.887.076;477.878.166;477.878.166;477.875.114;477.875.114;477.875.114;47.786.906;47.786.906;47.786.906;47.786.906;477.851.167;477.851.167;477.851.167;477.851.167;477.851.167;477.851.167;477.850.897;477.850.897;477.850.897;477.850.897;477.850.897;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.871.931;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;477.907.077;47.792.119;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.923.466;477.925.743;477.925.743;477.925.743;477.925.743;477.925.743;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;477.947.616;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;47.796.949;477.964.288;477.964.288;477.964.288;477.964.288;477.964.288;477.954.729;477.954.729;477.954.729;477.954.729;477.954.729;47.794.735;47.794.735;47.794.735;47.794.735;477.934.426;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.929.317;477.925.394;477.925.394;477.925.394;477.925.394;477.925.394;477.925.394;477.925.394;477.925.394;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.887.324;477.887.324;477.887.324;477.887.324; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accuracy;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1072;1072;957;957;957;957;957;957;957;957;957;957;1072;1072;1072;1072;1072;1072;1140;1140;1140;1140;1140;960;960;960;960;960;960;960;960;960;960;896;896;896;896;896;896;896;896;896;896;896;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;857;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;959;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1286;1286;1286;1286;1286;1286;1286;1286;1286;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Speed; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time; Thu Aug 28 2014 18:00:38 GMT+0200 (CEST); Thu Aug 28 2014 18:00:41 GMT+0200 (CEST); Thu Aug 28 2014 18:00:44 GMT+0200 (CEST); Thu Aug 28 2014 18:00:47 GMT+0200 (CEST); Thu Aug 28 2014 18:00:50 GMT+0200 (CEST); Thu Aug 28 2014 18:00:53 GMT+0200 (CEST); Thu Aug 28 2014 18:00:56 GMT+0200 (CEST); Thu Aug 28 2014 18:00:59 GMT+0200 (CEST); Thu Aug 28 2014 18:01:02 GMT+0200 (CEST); Thu Aug 28 2014 18:01:05 GMT+0200 (CEST); Thu Aug 28 2014 18:01:08 GMT+0200 (CEST); Thu Aug 28 2014 18:01:11 GMT+0200 (CEST); Thu Aug 28 2014 18:01:14 GMT+0200 (CEST); Thu Aug 28 2014 18:01:17 GMT+0200 (CEST); Thu Aug 28 2014 18:01:20 GMT+0200 (CEST); Thu Aug 28 2014 18:01:23 GMT+0200 (CEST); Thu Aug 28 2014 18:01:26 GMT+0200 (CEST); Thu Aug 28 2014 18:01:29 GMT+0200 (CEST); Thu Aug 28 2014 18:01:32 GMT+0200 (CEST); Thu Aug 28 2014 18:01:35 GMT+0200 (CEST); Thu Aug 28 2014 18:01:38 GMT+0200 (CEST); Thu Aug 28 2014 18:01:41 GMT+0200 (CEST); Thu Aug 28 2014 18:01:44 GMT+0200 (CEST); Thu Aug 28 2014 18:01:47 GMT+0200 (CEST); Thu Aug 28 2014 18:01:50 GMT+0200 (CEST); Thu Aug 28 2014 18:01:53 GMT+0200 (CEST); Thu Aug 28 2014 18:01:56 GMT+0200 (CEST); Thu Aug 28 2014 18:01:59 GMT+0200 (CEST); Thu Aug 28 2014 18:02:02 GMT+0200 (CEST); Thu Aug 28 2014 18:02:05 GMT+0200 (CEST); Thu Aug 28 2014 18:02:08 GMT+0200 (CEST); Thu Aug 28 2014 18:02:11 GMT+0200 (CEST); Thu Aug 28 2014 18:02:14 GMT+0200 (CEST); Thu Aug 28 2014 18:02:17 GMT+0200 (CEST); Thu Aug 28 2014 18:02:20 GMT+0200 (CEST); Thu Aug 28 2014 18:02:23 GMT+0200 (CEST); Thu Aug 28 2014 18:02:26 GMT+0200 (CEST); Thu Aug 28 2014 18:02:29 GMT+0200 (CEST); Thu Aug 28 2014 18:02:32 GMT+0200 (CEST); Thu Aug 28 2014 18:02:35 GMT+0200 (CEST); Thu Aug 28 2014 18:02:38 GMT+0200 (CEST); Thu Aug 28 2014 18:02:41 GMT+0200 (CEST); Thu Aug 28 2014 18:02:44 GMT+0200 (CEST); Thu Aug 28 2014 18:02:47 GMT+0200 (CEST); Thu Aug 28 2014 18:02:50 GMT+0200 (CEST); Thu Aug 28 2014 18:02:53 GMT+0200 (CEST); Thu Aug 28 2014 18:02:56 GMT+0200 (CEST); Thu Aug 28 2014 18:02:59 GMT+0200 (CEST); Thu Aug 28 2014 18:03:02 GMT+0200 (CEST); Thu Aug 28 2014 18:03:05 GMT+0200 (CEST); Thu Aug 28 2014 18:03:08 GMT+0200 (CEST); Thu Aug 28 2014 18:03:11 GMT+0200 (CEST); Thu Aug 28 2014 18:03:14 GMT+0200 (CEST); Thu Aug 28 2014 18:03:17 GMT+0200 (CEST); Thu Aug 28 2014 18:03:20 GMT+0200 (CEST); Thu Aug 28 2014 18:03:23 GMT+0200 (CEST); Thu Aug 28 2014 18:03:26 GMT+0200 (CEST); Thu Aug 28 2014 18:03:29 GMT+0200 (CEST); Thu Aug 28 2014 18:03:32 GMT+0200 (CEST); Thu Aug 28 2014 18:03:35 GMT+0200 (CEST); Thu Aug 28 2014 18:03:38 GMT+0200 (CEST); Thu Aug 28 2014 18:03:41 GMT+0200 (CEST); Thu Aug 28 2014 18:03:44 GMT+0200 (CEST); Thu Aug 28 2014 18:03:47 GMT+0200 (CEST); Thu Aug 28 2014 18:03:50 GMT+0200 (CEST); Thu Aug 28 2014 18:03:53 GMT+0200 (CEST); Thu Aug 28 2014 18:03:56 GMT+0200 (CEST); Thu Aug 28 2014 18:03:59 GMT+0200 (CEST); Thu Aug 28 2014 18:04:02 GMT+0200 (CEST); Thu Aug 28 2014 18:04:05 GMT+0200 (CEST); Thu Aug 28 2014 18:04:08 GMT+0200 (CEST); Thu Aug 28 2014 18:04:11 GMT+0200 (CEST); Thu Aug 28 2014 18:04:14 GMT+0200 (CEST); Thu Aug 28 2014 18:04:17 GMT+0200 (CEST); Thu Aug 28 2014 18:04:20 GMT+0200 (CEST); Thu Aug 28 2014 18:04:23 GMT+0200 (CEST); Thu Aug 28 2014 18:04:26 GMT+0200 (CEST); Thu Aug 28 2014 18:04:29 GMT+0200 (CEST); Thu Aug 28 2014 18:04:32 GMT+0200 (CEST); Thu Aug 28 2014 18:04:35 GMT+0200 (CEST); Thu Aug 28 2014 18:04:38 GMT+0200 (CEST); Thu Aug 28 2014 18:04:41 GMT+0200 (CEST); Thu Aug 28 2014 18:04:44 GMT+0200 (CEST); Thu Aug 28 2014 18:04:47 GMT+0200 (CEST); Thu Aug 28 2014 18:04:50 GMT+0200 (CEST); Thu Aug 28 2014 18:04:53 GMT+0200 (CEST); Thu Aug 28 2014 18:04:56 GMT+0200 (CEST); Thu Aug 28 2014 18:04:59 GMT+0200 (CEST); Thu Aug 28 2014 18:05:02 GMT+0200 (CEST); Thu Aug 28 2014 18:05:05 GMT+0200 (CEST); Thu Aug 28 2014 18:05:08 GMT+0200 (CEST); Thu Aug 28 2014 18:05:11 GMT+0200 (CEST); Thu Aug 28 2014 18:05:14 GMT+0200 (CEST); Thu Aug 28 2014 18:05:17 GMT+0200 (CEST); Thu Aug 28 2014 18:05:20 GMT+0200 (CEST); Thu Aug 28 2014 18:05:23 GMT+0200 (CEST); Thu Aug 28 2014 18:05:26 GMT+0200 (CEST); Thu Aug 28 2014 18:05:29 GMT+0200 (CEST); Thu Aug 28 2014 18:05:32 GMT+0200 (CEST); Thu Aug 28 2014 18:05:35 GMT+0200 (CEST); Thu Aug 28 2014 18:05:38 GMT+0200 (CEST); Thu Aug 28 2014 18:05:41 GMT+0200 (CEST); Thu Aug 28 2014 18:05:44 GMT+0200 (CEST); Thu Aug 28 2014 18:05:47 GMT+0200 (CEST); Thu Aug 28 2014 18:05:50 GMT+0200 (CEST); Thu Aug 28 2014 18:05:53 GMT+0200 (CEST); Thu Aug 28 2014 18:05:56 GMT+0200 (CEST); Thu Aug 28 2014 18:05:59 GMT+0200 (CEST); Thu Aug 28 2014 18:06:02 GMT+0200 (CEST); Thu Aug 28 2014 18:06:05 GMT+0200 (CEST); Thu Aug 28 2014 18:06:08 GMT+0200 (CEST); Thu Aug 28 2014 18:06:11 GMT+0200 (CEST); Thu Aug 28 2014 18:06:14 GMT+0200 (CEST); Thu Aug 28 2014 18:06:17 GMT+0200 (CEST); Thu Aug 28 2014 18:06:20 GMT+0200 (CEST); Thu Aug 28 2014 18:06:23 GMT+0200 (CEST); Thu Aug 28 2014 18:06:26 GMT+0200 (CEST); Thu Aug 28 2014 18:06:29 GMT+0200 (CEST); Thu Aug 28 2014 18:06:32 GMT+0200 (CEST); Thu Aug 28 2014 18:06:35 GMT+0200 (CEST); Thu Aug 28 2014 18:06:38 GMT+0200 (CEST); Thu Aug 28 2014 18:06:41 GMT+0200 (CEST); Thu Aug 28 2014 18:06:44 GMT+0200 (CEST); Thu Aug 28 2014 18:06:47 GMT+0200 (CEST); Thu Aug 28 2014 18:06:50 GMT+0200 (CEST); Thu Aug 28 2014 18:06:53 GMT+0200 (CEST); Thu Aug 28 2014 18:06:56 GMT+0200 (CEST); Thu Aug 28 2014 18:06:59 GMT+0200 (CEST); Thu Aug 28 2014 18:07:02 GMT+0200 (CEST); Thu Aug 28 2014 18:07:05 GMT+0200 (CEST); Thu Aug 28 2014 18:07:08 GMT+0200 (CEST); Thu Aug 28 2014 18:07:11 GMT+0200 (CEST); Thu Aug 28 2014 18:07:14 GMT+0200 (CEST); Thu Aug 28 2014 18:07:17 GMT+0200 (CEST); Thu Aug 28 2014 18:07:20 GMT+0200 (CEST); Thu Aug 28 2014 18:07:23 GMT+0200 (CEST); Thu Aug 28 2014 18:07:26 GMT+0200 (CEST); Thu Aug 28 2014 18:07:29 GMT+0200 (CEST); Thu Aug 28 2014 18:07:32 GMT+0200 (CEST); Thu Aug 28 2014 18:07:35 GMT+0200 (CEST); Thu Aug 28 2014 18:07:38 GMT+0200 (CEST); Thu Aug 28 2014 18:07:41 GMT+0200 (CEST); Thu Aug 28 2014 18:07:44 GMT+0200 (CEST); Thu Aug 28 2014 18:07:47 GMT+0200 (CEST); Thu Aug 28 2014 18:07:50 GMT+0200 (CEST); Thu Aug 28 2014 18:07:53 GMT+0200 (CEST); Thu Aug 28 2014 18:07:56 GMT+0200 (CEST); Thu Aug 28 2014 18:07:59 GMT+0200 (CEST); Thu Aug 28 2014 18:08:02 GMT+0200 (CEST); Thu Aug 28 2014 18:08:05 GMT+0200 (CEST); Thu Aug 28 2014 18:08:08 GMT+0200 (CEST); Thu Aug 28 2014 18:08:11 GMT+0200 (CEST); Thu Aug 28 2014 18:08:14 GMT+0200 (CEST); Thu Aug 28 2014 18:08:17 GMT+0200 (CEST); Thu Aug 28 2014 18:08:20 GMT+0200 (CEST); Thu Aug 28 2014 18:08:23 GMT+0200 (CEST); Thu Aug 28 2014 18:08:26 GMT+0200 (CEST); Thu Aug 28 2014 18:08:29 GMT+0200 (CEST); Thu Aug 28 2014 18:08:32 GMT+0200 (CEST); Thu Aug 28 2014 18:08:35 GMT+0200 (CEST); Thu Aug 28 2014 18:08:38 GMT+0200 (CEST); Thu Aug 28 2014 18:08:41 GMT+0200 (CEST); Thu Aug 28 2014 18:08:44 GMT+0200 (CEST); Thu Aug 28 2014 18:08:47 GMT+0200 (CEST); Thu Aug 28 2014 18:08:50 GMT+0200 (CEST); Thu Aug 28 2014 18:08:53 GMT+0200 (CEST); Thu Aug 28 2014 18:08:56 GMT+0200 (CEST); Thu Aug 28 2014 18:08:59 GMT+0200 (CEST); Thu Aug 28 2014 18:09:02 GMT+0200 (CEST); Thu Aug 28 2014 18:09:05 GMT+0200 (CEST); Thu Aug 28 2014 18:09:08 GMT+0200 (CEST); Thu Aug 28 2014 18:09:11 GMT+0200 (CEST); Thu Aug 28 2014 18:09:14 GMT+0200 (CEST); Thu Aug 28 2014 18:09:17 GMT+0200 (CEST); Thu Aug 28 2014 18:09:20 GMT+0200 (CEST); Thu Aug 28 2014 18:09:23 GMT+0200 (CEST); Thu Aug 28 2014 18:09:26 GMT+0200 (CEST); Thu Aug 28 2014 18:09:29 GMT+0200 (CEST); Thu Aug 28 2014 18:09:32 GMT+0200 (CEST); Thu Aug 28 2014 18:09:35 GMT+0200 (CEST); Thu Aug 28 2014 18:09:38 GMT+0200 (CEST); Thu Aug 28 2014 18:09:41 GMT+0200 (CEST); Thu Aug 28 2014 18:09:44 GMT+0200 (CEST); Thu Aug 28 2014 18:09:47 GMT+0200 (CEST); Thu Aug 28 2014 18:09:50 GMT+0200 (CEST); Thu Aug 28 2014 18:09:53 GMT+0200 (CEST); Thu Aug 28 2014 18:09:56 GMT+0200 (CEST); Thu Aug 28 2014 18:09:59 GMT+0200 (CEST); Thu Aug 28 2014 18:10:02 GMT+0200 (CEST); Thu Aug 28 2014 18:10:05 GMT+0200 (CEST); Thu Aug 28 2014 18:10:08 GMT+0200 (CEST); Thu Aug 28 2014 18:10:12 GMT+0200 (CEST); Thu Aug 28 2014 18:10:14 GMT+0200 (CEST); Thu Aug 28 2014 18:10:17 GMT+0200 (CEST); Thu Aug 28 2014 18:10:20 GMT+0200 (CEST); Thu Aug 28 2014 18:10:23 GMT+0200 (CEST); Thu Aug 28 2014 18:10:26 GMT+0200 (CEST); Thu Aug 28 2014 18:10:29 GMT+0200 (CEST); Thu Aug 28 2014 18:10:32 GMT+0200 (CEST); Thu Aug 28 2014 18:10:35 GMT+0200 (CEST); Thu Aug 28 2014 18:10:38 GMT+0200 (CEST); Thu Aug 28 2014 18:10:41 GMT+0200 (CEST); Thu Aug 28 2014 18:10:44 GMT+0200 (CEST); Thu Aug 28 2014 18:10:47 GMT+0200 (CEST); Thu Aug 28 2014 18:10:50 GMT+0200 (CEST); Thu Aug 28 2014 18:10:53 GMT+0200 (CEST); Thu Aug 28 2014 18:10:56 GMT+0200 (CEST); Thu Aug 28 2014 18:10:59 GMT+0200 (CEST); Thu Aug 28 2014 18:11:02 GMT+0200 (CEST); Thu Aug 28 2014 18:11:05 GMT+0200 (CEST); Thu Aug 28 2014 18:11:08 GMT+0200 (CEST); Thu Aug 28 2014 18:11:11 GMT+0200 (CEST); Thu Aug 28 2014 18:11:14 GMT+0200 (CEST); ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximal;2156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimal;736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
