Fahrt 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max RPM;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000; 
RPM;1014;1110;1100;999;1573;1188;1652;1856;1425;2160;1451;1323;1458;2483;2342;2122;2097;2242;2180;1878;1820;1340;1081;2235;3433;2807;5164;2238;2489;2299;2470;2412;2064;1139;1954;1809;1902;1982;2063;2160;2224;2061;1517;2053;1714;2569;2497;2247;2463;2363;2297;2306;2268;2176;2143;2089;1867;2112;2326;2269;2352;2260;1651;1746;2301;2547;2516;2488;2293;1235;1079;1043;1033;1038;1038;1036;1030;1033;1034;2189;2421;2532;2373;2869;2318;2224;2109;1877;1933;1953;2256;2236;2050;1532;1589;1573;1448;1742;1678;1119;1078;1025;1017;1018;1031;1020;1028;1030;1027;1019;1022;1026;1042;949;1151;1043;1145;2245;1828;1530;1187;2124;1527;1563;1886;2201;2413;2658;2774;3029;2826;3000;2157;2286;1825;1733;1258;1108;1086;1650;2166;1383;2452;2495;3662;2695;2804;2777;2849;2781;2796;2757;2749;2769;3039;2860;2813;3078;3016;3277;3049;3444;2474;2604;2544;2517;1166;1078;1028;1011;1025;1032;1025;1030;1194;1383;3489;2295;1691;1854;1828;1361;1768;2048;1808;1793;1191;1083;1088;1031; 
Longitude;130.622.253;130.622.253;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.620.099;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.617.945;130.622.018;130.622.018;130.622.018;130.622.018;130.620.661;130.620.661;130.620.661;130.604.418;130.604.418;130.607.124;130.604.418;130.604.418;130.604.418;130.604.418;130.564.754;130.564.754;130.564.754;130.547.023;130.534.325;130.534.325;130.534.325;130.534.325;130.534.325;130.534.325;130.490.469;130.490.469;130.490.469;130.490.469;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.501.987;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.486.715;130.506.084;130.506.084;13.050.631;13.050.631;13.050.631;13.050.631;13.050.631;13.050.631;13.050.631;13.050.631;130.515.938;130.515.938;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;130.487.054;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;13.051.246;130.537.867;130.537.867;130.537.867;130.537.867;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.535.337;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.532.808;130.534.051;130.534.051;130.540.183;130.540.183;130.540.183;130.540.183;130.540.183;130.540.183;130.540.183;130.553.919;130.560.956;130.560.956;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.573.787;130.595.129;130.595.129;130.595.129;130.595.129;130.595.129;130.594.788;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;13.060.485;130.609.711;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.623.614;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253;130.622.253; 
Latitude;477.887.324;477.887.324;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.883.407;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.879.491;477.855.344;477.855.344;477.855.344;477.855.344;477.863.393;477.863.393;477.863.393;477.879.885;477.879.885;477.879.806;477.879.885;477.879.885;477.879.885;477.879.885;477.882.849;477.882.849;477.882.849;477.883.969;477.857.995;477.857.995;477.857.995;477.857.995;477.857.995;477.857.995;477.863.407;477.863.407;477.863.407;477.863.407;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.873.582;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.904.698;477.910.622;477.910.622;477.916.602;477.916.602;477.916.602;477.916.602;477.916.602;477.916.602;477.916.602;477.916.602;477.918.069;477.918.069;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;47.791.367;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.942.161;477.970.653;477.970.653;477.970.653;477.970.653;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.971.983;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.973.312;477.971.401;477.971.401;477.967.296;477.967.296;477.967.296;477.967.296;477.967.296;477.967.296;477.967.296;477.959.375;477.954.729;477.954.729;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;47.794.735;477.935.612;477.935.612;477.935.612;477.935.612;477.935.612;477.934.426;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.931.415;477.929.317;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.906.359;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324;477.887.324; 
Accuracy;1262;1262;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1168;1168;1168;1168;1168;1168;1168;1076;1076;1076;1076;1076;1076;1076;1076;1076;1076;1076;1072;1072;1072;1072;1072;1072;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;883;1170;1170;1170;1170;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;869;959;959;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1121;1286;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262;1262; 
Speed; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; null; 
Time; Thu Aug 28 2014 20:03:38 GMT+0200 (CEST); Thu Aug 28 2014 20:03:41 GMT+0200 (CEST); Thu Aug 28 2014 20:03:44 GMT+0200 (CEST); Thu Aug 28 2014 20:03:47 GMT+0200 (CEST); Thu Aug 28 2014 20:03:50 GMT+0200 (CEST); Thu Aug 28 2014 20:03:53 GMT+0200 (CEST); Thu Aug 28 2014 20:03:56 GMT+0200 (CEST); Thu Aug 28 2014 20:03:59 GMT+0200 (CEST); Thu Aug 28 2014 20:04:02 GMT+0200 (CEST); Thu Aug 28 2014 20:04:05 GMT+0200 (CEST); Thu Aug 28 2014 20:04:08 GMT+0200 (CEST); Thu Aug 28 2014 20:04:11 GMT+0200 (CEST); Thu Aug 28 2014 20:04:14 GMT+0200 (CEST); Thu Aug 28 2014 20:04:17 GMT+0200 (CEST); Thu Aug 28 2014 20:04:20 GMT+0200 (CEST); Thu Aug 28 2014 20:04:23 GMT+0200 (CEST); Thu Aug 28 2014 20:04:26 GMT+0200 (CEST); Thu Aug 28 2014 20:04:29 GMT+0200 (CEST); Thu Aug 28 2014 20:04:32 GMT+0200 (CEST); Thu Aug 28 2014 20:04:35 GMT+0200 (CEST); Thu Aug 28 2014 20:04:38 GMT+0200 (CEST); Thu Aug 28 2014 20:04:41 GMT+0200 (CEST); Thu Aug 28 2014 20:04:44 GMT+0200 (CEST); Thu Aug 28 2014 20:04:47 GMT+0200 (CEST); Thu Aug 28 2014 20:04:50 GMT+0200 (CEST); Thu Aug 28 2014 20:04:53 GMT+0200 (CEST); Thu Aug 28 2014 20:04:56 GMT+0200 (CEST); Thu Aug 28 2014 20:04:59 GMT+0200 (CEST); Thu Aug 28 2014 20:05:02 GMT+0200 (CEST); Thu Aug 28 2014 20:05:05 GMT+0200 (CEST); Thu Aug 28 2014 20:05:08 GMT+0200 (CEST); Thu Aug 28 2014 20:05:11 GMT+0200 (CEST); Thu Aug 28 2014 20:05:14 GMT+0200 (CEST); Thu Aug 28 2014 20:05:17 GMT+0200 (CEST); Thu Aug 28 2014 20:05:20 GMT+0200 (CEST); Thu Aug 28 2014 20:05:23 GMT+0200 (CEST); Thu Aug 28 2014 20:05:26 GMT+0200 (CEST); Thu Aug 28 2014 20:05:29 GMT+0200 (CEST); Thu Aug 28 2014 20:05:32 GMT+0200 (CEST); Thu Aug 28 2014 20:05:35 GMT+0200 (CEST); Thu Aug 28 2014 20:05:42 GMT+0200 (CEST); Thu Aug 28 2014 20:05:42 GMT+0200 (CEST); Thu Aug 28 2014 20:05:44 GMT+0200 (CEST); Thu Aug 28 2014 20:05:47 GMT+0200 (CEST); Thu Aug 28 2014 20:05:50 GMT+0200 (CEST); Thu Aug 28 2014 20:05:53 GMT+0200 (CEST); Thu Aug 28 2014 20:05:56 GMT+0200 (CEST); Thu Aug 28 2014 20:05:59 GMT+0200 (CEST); Thu Aug 28 2014 20:06:02 GMT+0200 (CEST); Thu Aug 28 2014 20:06:05 GMT+0200 (CEST); Thu Aug 28 2014 20:06:08 GMT+0200 (CEST); Thu Aug 28 2014 20:06:11 GMT+0200 (CEST); Thu Aug 28 2014 20:06:14 GMT+0200 (CEST); Thu Aug 28 2014 20:06:17 GMT+0200 (CEST); Thu Aug 28 2014 20:06:20 GMT+0200 (CEST); Thu Aug 28 2014 20:06:23 GMT+0200 (CEST); Thu Aug 28 2014 20:06:26 GMT+0200 (CEST); Thu Aug 28 2014 20:06:29 GMT+0200 (CEST); Thu Aug 28 2014 20:06:32 GMT+0200 (CEST); Thu Aug 28 2014 20:06:35 GMT+0200 (CEST); Thu Aug 28 2014 20:06:38 GMT+0200 (CEST); Thu Aug 28 2014 20:06:41 GMT+0200 (CEST); Thu Aug 28 2014 20:06:44 GMT+0200 (CEST); Thu Aug 28 2014 20:06:47 GMT+0200 (CEST); Thu Aug 28 2014 20:06:50 GMT+0200 (CEST); Thu Aug 28 2014 20:06:53 GMT+0200 (CEST); Thu Aug 28 2014 20:06:56 GMT+0200 (CEST); Thu Aug 28 2014 20:06:59 GMT+0200 (CEST); Thu Aug 28 2014 20:07:02 GMT+0200 (CEST); Thu Aug 28 2014 20:07:05 GMT+0200 (CEST); Thu Aug 28 2014 20:07:08 GMT+0200 (CEST); Thu Aug 28 2014 20:07:11 GMT+0200 (CEST); Thu Aug 28 2014 20:07:14 GMT+0200 (CEST); Thu Aug 28 2014 20:07:17 GMT+0200 (CEST); Thu Aug 28 2014 20:07:20 GMT+0200 (CEST); Thu Aug 28 2014 20:07:23 GMT+0200 (CEST); Thu Aug 28 2014 20:07:26 GMT+0200 (CEST); Thu Aug 28 2014 20:07:29 GMT+0200 (CEST); Thu Aug 28 2014 20:07:32 GMT+0200 (CEST); Thu Aug 28 2014 20:07:35 GMT+0200 (CEST); Thu Aug 28 2014 20:07:38 GMT+0200 (CEST); Thu Aug 28 2014 20:07:41 GMT+0200 (CEST); Thu Aug 28 2014 20:07:44 GMT+0200 (CEST); Thu Aug 28 2014 20:07:47 GMT+0200 (CEST); Thu Aug 28 2014 20:07:50 GMT+0200 (CEST); Thu Aug 28 2014 20:07:53 GMT+0200 (CEST); Thu Aug 28 2014 20:07:56 GMT+0200 (CEST); Thu Aug 28 2014 20:07:59 GMT+0200 (CEST); Thu Aug 28 2014 20:08:02 GMT+0200 (CEST); Thu Aug 28 2014 20:08:05 GMT+0200 (CEST); Thu Aug 28 2014 20:08:08 GMT+0200 (CEST); Thu Aug 28 2014 20:08:11 GMT+0200 (CEST); Thu Aug 28 2014 20:08:14 GMT+0200 (CEST); Thu Aug 28 2014 20:08:17 GMT+0200 (CEST); Thu Aug 28 2014 20:08:20 GMT+0200 (CEST); Thu Aug 28 2014 20:08:23 GMT+0200 (CEST); Thu Aug 28 2014 20:08:26 GMT+0200 (CEST); Thu Aug 28 2014 20:08:29 GMT+0200 (CEST); Thu Aug 28 2014 20:08:32 GMT+0200 (CEST); Thu Aug 28 2014 20:08:35 GMT+0200 (CEST); Thu Aug 28 2014 20:08:39 GMT+0200 (CEST); Thu Aug 28 2014 20:08:41 GMT+0200 (CEST); Thu Aug 28 2014 20:08:44 GMT+0200 (CEST); Thu Aug 28 2014 20:08:47 GMT+0200 (CEST); Thu Aug 28 2014 20:08:51 GMT+0200 (CEST); Thu Aug 28 2014 20:08:53 GMT+0200 (CEST); Thu Aug 28 2014 20:08:56 GMT+0200 (CEST); Thu Aug 28 2014 20:08:59 GMT+0200 (CEST); Thu Aug 28 2014 20:09:02 GMT+0200 (CEST); Thu Aug 28 2014 20:09:05 GMT+0200 (CEST); Thu Aug 28 2014 20:09:08 GMT+0200 (CEST); Thu Aug 28 2014 20:09:11 GMT+0200 (CEST); Thu Aug 28 2014 20:09:14 GMT+0200 (CEST); Thu Aug 28 2014 20:09:17 GMT+0200 (CEST); Thu Aug 28 2014 20:09:20 GMT+0200 (CEST); Thu Aug 28 2014 20:09:23 GMT+0200 (CEST); Thu Aug 28 2014 20:09:26 GMT+0200 (CEST); Thu Aug 28 2014 20:09:29 GMT+0200 (CEST); Thu Aug 28 2014 20:09:32 GMT+0200 (CEST); Thu Aug 28 2014 20:09:35 GMT+0200 (CEST); Thu Aug 28 2014 20:09:38 GMT+0200 (CEST); Thu Aug 28 2014 20:09:41 GMT+0200 (CEST); Thu Aug 28 2014 20:09:44 GMT+0200 (CEST); Thu Aug 28 2014 20:09:47 GMT+0200 (CEST); Thu Aug 28 2014 20:09:50 GMT+0200 (CEST); Thu Aug 28 2014 20:09:53 GMT+0200 (CEST); Thu Aug 28 2014 20:09:56 GMT+0200 (CEST); Thu Aug 28 2014 20:09:59 GMT+0200 (CEST); Thu Aug 28 2014 20:10:02 GMT+0200 (CEST); Thu Aug 28 2014 20:10:05 GMT+0200 (CEST); Thu Aug 28 2014 20:10:08 GMT+0200 (CEST); Thu Aug 28 2014 20:10:11 GMT+0200 (CEST); Thu Aug 28 2014 20:10:14 GMT+0200 (CEST); Thu Aug 28 2014 20:10:17 GMT+0200 (CEST); Thu Aug 28 2014 20:10:20 GMT+0200 (CEST); Thu Aug 28 2014 20:10:23 GMT+0200 (CEST); Thu Aug 28 2014 20:10:26 GMT+0200 (CEST); Thu Aug 28 2014 20:10:29 GMT+0200 (CEST); Thu Aug 28 2014 20:10:32 GMT+0200 (CEST); Thu Aug 28 2014 20:10:35 GMT+0200 (CEST); Thu Aug 28 2014 20:10:38 GMT+0200 (CEST); Thu Aug 28 2014 20:10:41 GMT+0200 (CEST); Thu Aug 28 2014 20:10:44 GMT+0200 (CEST); Thu Aug 28 2014 20:10:48 GMT+0200 (CEST); Thu Aug 28 2014 20:10:50 GMT+0200 (CEST); Thu Aug 28 2014 20:10:53 GMT+0200 (CEST); Thu Aug 28 2014 20:10:57 GMT+0200 (CEST); Thu Aug 28 2014 20:11:00 GMT+0200 (CEST); Thu Aug 28 2014 20:11:03 GMT+0200 (CEST); Thu Aug 28 2014 20:11:05 GMT+0200 (CEST); Thu Aug 28 2014 20:11:09 GMT+0200 (CEST); Thu Aug 28 2014 20:11:11 GMT+0200 (CEST); Thu Aug 28 2014 20:11:14 GMT+0200 (CEST); Thu Aug 28 2014 20:11:17 GMT+0200 (CEST); Thu Aug 28 2014 20:11:21 GMT+0200 (CEST); Thu Aug 28 2014 20:11:23 GMT+0200 (CEST); Thu Aug 28 2014 20:11:27 GMT+0200 (CEST); Thu Aug 28 2014 20:11:29 GMT+0200 (CEST); Thu Aug 28 2014 20:11:33 GMT+0200 (CEST); Thu Aug 28 2014 20:11:36 GMT+0200 (CEST); Thu Aug 28 2014 20:11:38 GMT+0200 (CEST); Thu Aug 28 2014 20:11:42 GMT+0200 (CEST); Thu Aug 28 2014 20:11:45 GMT+0200 (CEST); Thu Aug 28 2014 20:11:48 GMT+0200 (CEST); Thu Aug 28 2014 20:11:51 GMT+0200 (CEST); Thu Aug 28 2014 20:11:54 GMT+0200 (CEST); Thu Aug 28 2014 20:11:57 GMT+0200 (CEST); Thu Aug 28 2014 20:12:00 GMT+0200 (CEST); Thu Aug 28 2014 20:12:03 GMT+0200 (CEST); Thu Aug 28 2014 20:12:05 GMT+0200 (CEST); Thu Aug 28 2014 20:12:09 GMT+0200 (CEST); Thu Aug 28 2014 20:12:12 GMT+0200 (CEST); Thu Aug 28 2014 20:12:15 GMT+0200 (CEST); Thu Aug 28 2014 20:12:18 GMT+0200 (CEST); Thu Aug 28 2014 20:12:21 GMT+0200 (CEST); Thu Aug 28 2014 20:12:24 GMT+0200 (CEST); Thu Aug 28 2014 20:12:26 GMT+0200 (CEST); Thu Aug 28 2014 20:12:30 GMT+0200 (CEST); Thu Aug 28 2014 20:12:32 GMT+0200 (CEST); Thu Aug 28 2014 20:12:36 GMT+0200 (CEST); Thu Aug 28 2014 20:12:39 GMT+0200 (CEST); Thu Aug 28 2014 20:12:42 GMT+0200 (CEST); Thu Aug 28 2014 20:12:45 GMT+0200 (CEST); Thu Aug 28 2014 20:12:48 GMT+0200 (CEST); Thu Aug 28 2014 20:12:51 GMT+0200 (CEST); Thu Aug 28 2014 20:12:54 GMT+0200 (CEST); Thu Aug 28 2014 20:12:57 GMT+0200 (CEST); Thu Aug 28 2014 20:13:00 GMT+0200 (CEST); Thu Aug 28 2014 20:13:03 GMT+0200 (CEST); Thu Aug 28 2014 20:13:06 GMT+0200 (CEST); 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximal;5164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimal;949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
